SECRET PARTY,2007-10-21,23:00,,,,Bg,Oosterdokskade 3-5,52.375918,4.907437,15.00,15.00,400,,"[JOOST VAN BELLEN, MIX HELL DJS, SOULWAX THE REMIXES LIVE, 2MANYDJS]",false,false
2012,2007-10-21,21:00,2007-10-22,04:00,420.0,Akhnaton,Nieuwezijds Kolk 25,52.376272,4.894322,10.00,10.00,300,"[TECHNO, TECH HOUSE, ELECTRO]",,false,false
TERRACEVIBE,2007-10-21,15:00,2007-10-22,02:00,660.0,Cafe Max,Max Euweplein 12,,,0.00,0.00,,,"[MIKE DE HAAS, ADAM BEN ADAM]",false,false
AFTERPARTY,2007-10-21,05:00,2007-10-21,12:00,420.0,Club Latido,Buikslotermeerplein 7/9,52.398663,4.93827,15.00,15.00,1000,"[CLUB, ELECTRO, TRIBAL]","[DJ DANTZ, MISS WENDY, SIM]",false,false
OFFICIAL ADE SUNDAY AFTER PARTY,2007-10-21,22:00,2007-10-22,03:00,300.0,Club Nl,Nieuwezijds Voorburgwal 169,52.372064,4.891011,5.00,5.00,,,,false,false
SUNDAE PRESENTS: CLUB ROYALE,2007-10-21,20:00,2007-10-22,04:00,480.0,Escape,Rembrandtplein 11,52.366428,4.896349,15.00,15.00,,,"[KRAAK & SMAAK, PETER GELDERBLOM, MARCELLA, MARK VAN DALE, E-BINK & DEVOICE.]",false,false
HUSH HUSH,2007-10-21,23:00,2007-10-22,03:00,240.0,Jimmy Woo,Korte Leidsedwarsstraat 18,52.364116,4.883464,10.00,10.00,550,,"[ABSTRACT, LARS DALES, RUBYWAX]",false,false
CLOSING PARTY: SUPER SUNDAY,2007-10-21,21:00,2007-10-22,03:00,360.0,Panama,Oostelijke Handelskade 4,52.374931,4.930309,13.00,15.00,1000,[FUNK],,false,false
WICKED JAZZ SOUNDS,2007-10-21,23:00,2007-10-22,05:00,360.0,Sugarfactory,Lijnbaansgracht 238,52.364798,4.881735,,,450,,"[SUSANNE ALT, SANNE VAN HEK, PHIL HORNEMAN, BERENICE VAN LEER, MISSING LINKS, LAURENS PRIEM]",false,false
100% PURE LABEL NIGHT,2007-10-20,22:30,2007-10-21,04:00,330.0,Bg,Oosterdokskade 3-5,52.375918,4.907437,,,400,"[HOUSE, MINIMAL, TECHNO]",,false,false
CLUB KRANG,2007-10-20,22:00,2007-10-21,10:00,720.0,Akhnaton,Nieuwezijds Kolk 25,52.376272,4.894322,12.50,11.00,300,"[HOUSE, MINIMAL, TECHNO]","[PLATTEN PETER, DAVE VEGA, FRANK HAAG, FLOW & INGY]",false,false
AMSTERDAM DANCE EVENT SHOWCASE,2007-10-20,23:00,2007-10-21,05:00,360.0,Kingdom Marcanti,Jan Van Galenstraat 6-10,52.375807,4.867107,10.00,10.00,2500,"[ELECTRO, SOUL]",,false,false
STEALTH EXPERIENCE,2007-10-20,22:00,2007-10-21,05:00,420.0,Bg,Oosterdokskade 3-5,52.375918,4.907437,12.00,12.00,,,"[LAIDBACK LUKE, JESSE GARCIA, FUNKERMAN, TOM DE NEEF, EDDIE THONEICK, BUSH II BUSH, MUZZAIK, AGENT GREG, BAS JANSEN]",false,false
VEKTORMUSIK / ALOG / LIJN5 SELECTOR,2007-10-20,21:00,2007-10-21,03:00,360.0,Bimhuis,Piet Heinkade 3,52.375765,4.924412,,,,"[DRUM N BASS, JAZZ, HIP HOP]","[BADRUN, VEKTORMUSIK, ALOG, LIJN5 SELECTOR]",false,false
APPLETREE LIVE AT THE BBQ,2007-10-20,20:00,2007-10-21,04:00,480.0,Bitterzoet,Spuistraat 2,52.372263,4.88949,8.50,8.50,,"[HIP HOP, FUNK, SOUL]","[LILVIC, DANNY DE FUNK & DE REIGER]",false,false
AMERCIAN RADIO AREA54,2007-10-20,22:00,2007-10-21,03:00,300.0,Cafe Max,Max Euweplein 12,,,0.00,0.00,,,"[MIKE VEE, TIM REQUE]",false,false
SWEDISH HOUSE MAFIA,2007-10-20,22:00,2007-10-21,04:00,360.0,Cineac,Reguliersbreestraat 31-33,52.366547,4.894856,20.00,25.00,520,[HOUSE],,false,false
CLUB RASCAL,2007-10-20,22:00,2007-10-21,04:00,360.0,Club 8,Admiraal De Ruijterweg 56 B,52.371242,4.86195,7.50,7.50,400,"[ELECTRO, ROCK]","[CLORS BARRY, DASH & BX]",false,false
HIP POP,2007-10-20,23:00,2007-10-21,04:00,300.0,Club La,Kerkstraat 50 - 52,52.365339,4.885535,5.00,5.00,250,[HOUSE],,false,false
