name,start_date,end_date,location,address,locality,country,latitude,longitude,capacity,price,genre,lineup,state
Secret Party ,2007-10-21T23:00,,11e verdieping TPG gebouw,Oosterdokskade 3-5,Amsterdam,NL,52.375918,4.907437,400,"Presale: 15,00 excl. fee",,"Joost van Bellen (indraai dj de luuks), Mix Hell DJs, Soulwax The Remixes live en 2ManyDJs",
2012 ,2007-10-21T21:00,2007-10-22T04:00,Akhnaton,Nieuwezijds Kolk 25,Amsterdam,NL,52.376272,4.894322,300,"Door:  10,00","Techno,  Tech House,  Electro",,
ADE Terracevibe ,2007-10-21T15:00,2007-10-22T02:00,Cafe Max,Max Euweplein 12,Amsterdam,NL,,,,Free entrance,,"Mike de Haas (CAN), Adam Ben Adam (IL)",
ADE Afterparty ,2007-10-21T05:00,2007-10-21T12:00,Club Latido,Buikslotermeerplein 7/9,Amsterdam,NL,52.398663,4.93827,1000,"Door:  15,00","Club,  Electro,  Tribal","DJ Dantz (JP), Miss Wendy ( NL), SIM (NL)",
Official ADE Sunday After Party ,2007-10-21T22:00,2007-10-22T03:00,Club NL,Nieuwezijds Voorburgwal 169,Amsterdam,NL,52.372064,4.891011,,"Door:   5,00",,,
ADE Sundae presents: Club Royale ,2007-10-21T20:00,2007-10-22T04:00,Escape,Rembrandtplein 11,Amsterdam,NL,52.366428,4.896349,,"Door:  15,00",,"Kraak & Smaak (dj-set), Peter Gelderblom, Marcella, Mark van Dale, E-Bink & Devoice.",
Hush Hush ,2007-10-21T23:00,2007-10-22T03:00,Jimmy Woo,Korte Leidsedwarsstraat 18,Amsterdam,NL,52.364116,4.883464,550,"Door:  10,00",,"Abstract, Lars Dales en Rubywax",
ADE Closing Party: Super Sunday ,2007-10-21T21:00,2007-10-22T03:00,Panama,Oostelijke handelskade 4,Amsterdam,NL,52.374931,4.930309,1000,"Presale: 13,00 excl. feeDoor:  15,00",Funk,,
Wicked Jazz Sounds ,2007-10-21T23:00,2007-10-22T05:00,Sugarfactory,Lijnbaansgracht 238,Amsterdam,NL,52.364798,4.881735,450,,,"Susanne Alt (sax), Sanne van Hek (trumpet), Phil Horneman (DJ), Berenice van Leer (vocals), Missing Links (DJ), Laurens Priem (guitar)",
ADE 100% Pure Label Night ,2007-10-20T22:30,2007-10-21T04:00,11e verdieping TPG gebouw,Oosterdokskade 3-5,Amsterdam,NL,52.375918,4.907437,400,,"House,  Minimal,  Techno",,
ADE Club Krang ,2007-10-20T22:00,2007-10-21T10:00,Akhnaton,Nieuwezijds Kolk 25,Amsterdam,NL,52.376272,4.894322,300,"Presale: 12,50 excl. feeDoor:  11,00","House,  Minimal,  Techno","Platten Peter (4hr. set), Dave Vega, Frank Haag (live), Flow & Ingy",
ADE Amsterdam Dance Event Showcase ,2007-10-20T23:00,2007-10-21T05:00,Amsterdam Marcanti,Jan van Galenstraat 6-10,Amsterdam,NL,52.375807,4.867107,2500,"Presale: 10,00 excl. fee","Electro,  Soul",,
