name,start_date,end_date,location,address,locality,country,latitude,longitude,capacity,price,genre,lineup,state
ADE Static and 11 present a Playhouse Label Nigh ,2005-10-29T22:30,2005-10-30T04:00,11e verdieping TPG gebouw,Oosterdokskade 3-5,Amsterdam,NL,52.375918,4.907437,400,"Presale: 12,50 excl. fee",,"Bart Skills, Dj Ata, Rework, Jonathan Traffic",
ADE Gplus ,2005-10-29T23:00,2005-10-30T05:00,Akhnaton,Nieuwezijds Kolk 25,Amsterdam,NL,52.376272,4.894322,400,"Presale: 10,00 excl. feeDoor:  12,00",,"Liftshift, DJ Arne, Midimiliz aka The Delta, X-dream vs Prime Suspect",
ADE Top Billin' ,2005-10-29T23:00,2005-10-30T04:00,Bitterzoet,Spuistraat 2,Amsterdam,NL,52.372263,4.88949,400,"Door:   5,00",,"Jawat, The Opposites, DJs SP, Edzon and Knowhow",
ADE Variety ,2005-10-29T21:00,2005-10-30T04:00,Club Magazijn,Warmoerstraat 170,Amsterdam,NL,52.373669,4.895666,250,"Door:   7,50",,"Mason, Cheesy Sva, DJ Jørgensen",
ADE More Urban ,2005-10-29T23:00,2005-10-30T07:00,Club More,Rozengracht 133,Amsterdam,NL,,,400,"Door:  12,00",,"Orlando, Kid, Flava, Frank, Irwan, Gilly, Goodfellas, Dr. Beat, Violatorz",
ADE Inmotion ,2005-10-29T22:00,2005-10-30T04:00,Club NL,Nieuwezijds Voorburgwal 169,Amsterdam,NL,52.372064,4.891011,,"Door:   6,00",,"Shinedoe, Dave Ellesmere, DJ Madskillz, 2000 and One (live)",
Loslopend Wild ,2005-10-29T23:00,2005-10-30T04:00,De Kring,Kleine Gartmansplantsoen 7-9,Amsterdam,NL,52.363575,4.883355,400,"Door:   7,50",,"Lil' D (Quazar/Welcome To The Future), Eva Maria (Electronation / Extrema Outdoor), Sander Baan (Phonocult), Freek Fabricius (030303 / 5 Days Off)",
ADE MN2s @ Escape Venue ,2005-10-29T22:00,2005-10-30T05:00,Escape,Rembrandtplein 11,Amsterdam,NL,52.366428,4.896349,400,"Presale: 20,00 excl. fee",Funk,"Full Intention, Dj Roog, Seamus, Haji, Sharam Jey, Axwell, Raymundo, Alex Romano, Jeroenski, Born 2 Funk, Silverius",
ADE eob meets Plastik Fantastik ,2005-10-29T22:00,2005-10-30T03:00,Fantasio,Prins Hendrikkade 142,Amsterdam,NL,52.373052,4.907172,,"Door:   5,00",,"Plastik Fantastik Unit I, Plastik Fantastik Unit II, DJ Björn B. vs Plastik Fantastik, Amos del Ritmo",
ADE Eob meets Plastik Fantastik ,2005-10-29T22:00,2005-10-30T03:00,Fantasio (Nationaal Pop Instituut),Prins Hendrikkade 142,Amsterdam,NL,,,,"Door:   5,00","House,  funk,  soul","Plastik Fantastik Unit I (nl), Plastik Fantastik Unit II (nl), DJ Björn B. vs Plastik Fantastik (nl), Amos del Ritmo (nl)",
D3: Dutch DJ Day ,2005-10-29T10:30,,Felix Meritis,Keizersgracht 324,Amsterdam,NL,52.370205,4.884397,,,,DJ en producers seminar,
ADE Red Bull Music Academy Workshops ,2005-10-29T12:00,,Felix Meritis,Keizersgracht 324,Amsterdam,NL,52.370205,4.884397,,"Door:  15,00",,"Derrick May, Dave Clark, Steve Rachmad, Joris Voorn, Antal, Christiaan, RBMA (deelnemers van de afgelopen jaren)",
ADE Loveland Starts Fire! ,2005-10-29T22:00,2005-10-30T06:00,Hotel Arena,'s-Gravesandestraat 51,Amsterdam,NL,52.360576,4.915968,,"Presale: 20,00 excl. fee",,,
ADE 2 Days of ACE presented by Dj Chuckie ,2005-10-29T21:00,2005-10-30T05:00,Jimmy Woo,Korte Leidsedwarsstraat 18,Amsterdam,NL,52.364116,4.883464,400,"Door:  10,00","House,  Eclectic,  Funk","Duncan de la Funk, Jaziah, Dj Chuckie, Melly Mell, Mustafa",
ADE XtraLarge presents:Johan Gielen & Friends ,2005-10-29T22:00,2005-10-30T05:00,Kingdom Marcanti,Jan van Galenstraat 6-10,Amsterdam,NL,,,,"Door:  16,00",,"Johan Gielen, Spider, Simon Patterson, Jesselyn",
ADE Supergiants @ Melkweg ,2005-10-29T23:00,2005-10-30T05:00,Melkweg,Lijnbaansgracht 234a,Amsterdam,NL,52.364837,4.881273,400,"Presale: 12,50 excl. fee",,"Electrolive, Futureshock, Herr Arter, Mason, Lady Ace",
Clubnight ,2005-10-29T23:00,2005-10-30T05:00,Odeon Theater,Singel 460,Amsterdam,NL,,,,"Door:  10,00",,We-Be-1,
ADE Boem Tsjak 2 ,2005-10-29T23:00,2005-10-30T05:00,Pakhuis Wilhelmina,Veemkade 576,Amsterdam,NL,52.374876,4.93445,250,"Presale: 7,50 excl. fee",,"Peel Seamus, Terrace, Duplex, Dynarec, Pametex, Newworldaquarium, Dexter, Lefowelt vs Orgue Electronique",
ADE Famous ,2005-10-29T23:00,2005-10-30T04:00,Panama,Oostelijke handelskade 4,Amsterdam,NL,52.374931,4.930309,400,"Door:  15,00",,"Stonebridge, Mischa Daniels, Gadjo & Alexandra Prince",
ADE Kindred Spirits Weekender ,2005-10-29T23:00,2005-10-30T05:00,Paradiso,Weteringschans 6-8,Amsterdam,NL,52.362277,4.883945,250,"Presale: 25,00 excl. fee",Jazz,,
ADE Armada Night ,2005-10-29T22:00,2005-10-30T05:00,Partyship Ocean Diva,Distelweg 90 in Noord,Amsterdam,NL,,,,"Presale: 21,75 excl. fee",,"Armin van Buuren, M.I.K.E, Perry ONeil, Remy, Harry Lemon",
ADE Official Afterparty ,2005-10-29T05:00,2005-10-29T12:00,Rain,Rembrandtplein 44,Amsterdam,NL,52.365901,4.897413,250,"Door:   6,00",,"Bart Skils & Guests, Prinz, Herr Arter (Electronation) vs Jama, Hero Bonardi, Ghost",
ADE Club Mystique ,2005-10-29T23:00,2005-10-30T04:00,Rain,Rembrandtplein 44,Amsterdam,NL,52.365901,4.897413,250,"Door:  10,00",,"Jeff Bennet, Jama & Marcus Mendoza, VanDamm",
Soultrain ,2005-10-29T22:00,2005-10-30T04:00,Strand West,Stavangerweg 900 (houthavens),Amsterdam,NL,52.3934,4.878837,,"Door:  15,00",Latin,,
ADE Playground80 ,2005-10-29T22:00,2005-10-30T06:00,Studio 80,Rembrandtplein 17,Amsterdam,NL,52.366253,4.897123,,"Door:  10,00",,"Touché, Alloy Mental",
ADE All is One ,2005-10-29T20:00,2005-10-30T05:00,Sugarfactory,Lijnbaansgracht t.o. de Melkweg,Amsterdam,NL,52.364798,4.881735,250,"Presale: 10,00 excl. feeDoor:  12,50",,"Piet Jan Blauw, Maa, Dimitri, Quazar, 100 % Isis, Taho, Dj Tommy Van Huystee",
ADE Get Lost! ,2005-10-29T23:00,2005-10-30T05:00,Supper,Jonge roelensteeg 21,Amsterdam,NL,52.367547,4.888833,250,Free entrance,,"Roelove 74, Prinz, Jeremy Norris, Jurr, Lin, Barbara Power, Dj Hero Bonardi, Dj Mustafa",
ADE 2 Days of ACE ,2005-10-29T21:00,2005-10-30T03:00,Suzie Wong,Korte Leidsedwarsstraat 45,Amsterdam,NL,,,,Free entrance,,"Dame, Phonophunk, Mustafa",
ADE cr2 Label Night ,2005-10-29T22:00,2005-10-30T03:00,The Mansion,Hobbemastraat 2,Amsterdam,NL,52.361452,4.882344,,,,"Mync Project, Steve Mac, Fedde Le Grand, Resident Dj Dekky",
Dutch Dj Night ,2005-10-29T22:00,2005-10-30T05:00,The Powerzone,Daniel Goedkoopstr. 1-3,Amsterdam,NL,52.343369,4.918505,3500,,,,
Later (afterparty) ,2005-10-29T04:30,2005-10-29T09:00,The Zebra,Korte Leidsedwarsstraat 14,Amsterdam,NL,52.364116,4.883464,,"Door:  12,00","Funky uplifting,  house","Erick E, Victor Coral, Fedde le Grand",
ADE HipopStap Special ,2005-10-29T22:00,2005-10-30T04:00,The Zebra,Korte Leidsedwarsstraat 14,Amsterdam,NL,52.364116,4.883464,,"Door:  10,00",,"Richi Romero, Robert Feelgood",
Kobyashi invites Biomix ,2005-10-29T18:00,,TWSTd,Weteringschans 157,Amsterdam,NL,52.359747,4.889935,99,Free entrance,Electronic Newschool Beats,"Relatif Yann (Biomix, Fr), Jeremy Norris (Space, Ibiza), Steven de Peven.",
Lovebeats ,2005-10-29T22:00,2005-10-30T--:--,Vak Zuid,Olympisch Stadion 35,Amsterdam,NL,52.344575,4.854739,1200,"Presale: 10,00 excl. feeDoor:  12,00",Om nooit meer te vergeten!!!!!,"Dj D-Rashid, Dj Melly Mel, Dj Bassline",
Amsterdam dance event ,2005-10-29,,versch. locaties,,Amsterdam,NL,,,,,,,
The Unofficial ADE Afterparty ,2005-10-29T05:00,2005-10-29T13:00,Winston Kingdom,Warmoestraat 129,Amsterdam,NL,52.373843,4.896325,,"Door:   6,00",,"Vince Watson (kinetic), Boris Werner (Mono), Robert Cage (submit), MF & EJ b2b",
ADE Rauw Live ,2005-10-28,,11e verdieping TPG gebouw,Oosterdokskade 3-5,Amsterdam,NL,52.375918,4.907437,250,"Door:  12,50",,"The Discotwins aka DJ Paul Everready & DJ Sanyi, Handel, Mediengruppe Telekommander, Sammy Jo, Cantankerous, Geigercounting, Joost van Bellen",
ADE AMS Bookings vs Sub Culture ,2005-10-28T23:00,2005-10-29T05:00,Akhnaton,Nieuwezijds Kolk 25,Amsterdam,NL,52.376272,4.894322,250,"Door:   6,50",,"Lennert B, ZoëXenia , Nuno dos Santos, Jerome, Juan Sanchez, Pinxt",
ADE The Return of the Bootypop Phantom ,2005-10-28T20:00,2005-10-29T04:00,Bitterzoet,Spuistraat 2,Amsterdam,NL,52.372263,4.88949,,"Door:   5,00",,"Benzo (live), Dj Parker Jones, Seymour Bits (live), De Jeugd van Tegenwoordig (live), Dj Gall & Gall",
Nightpeople ,2005-10-28T22:00,2005-10-29T05:00,Club LA,Kerkstraat 50 - 52,Amsterdam,NL,52.365339,4.885535,,"Door:   7,00","house,  groove,  club,  trance","Joel, Bicker, Dj Niels Mariee",
ADE Club Magazijn ,2005-10-28T21:00,2005-10-29T04:00,Club Magazijn,Warmoerstraat 170,Amsterdam,NL,52.373669,4.895666,1100,,,"DJ Naughty, Max 404",
ADE Planet House ,2005-10-28T23:00,2005-10-29T05:00,Club More,Rozengracht 133,Amsterdam,NL,,,250,"Door:  12,50",House,"Grant Nelson, Marcella, Ramon Diaz, Leo Moreno, Miss Bunty, Ace on Sax",
ADE Platfrom Music/Rosa presents: ,2005-10-28,,Desmet,Plantage Middenlaan 4a,Amsterdam,NL,52.365527,4.914202,,Free entrance,,"Asle (live), Rumpistol (live), Rasmus Møbius (live), DJ Morten Trøst aka Soulmagic",
ADE LEF & Politics of Dancing ,2005-10-28T23:00,2005-10-29T05:00,Escape,Rembrandtplein 11,Amsterdam,NL,52.366428,4.896349,250,"Presale: 20,00 excl. feeDoor:  25,00",,"Ferry Corsten, Paul van Dyk, Ronald van Gelderen",
ADE Dutch Rare Groove ,2005-10-28T22:00,2005-10-29T04:00,Fantasion,Prins Hendrikkade 142,Amsterdam,NL,,,1100,"Door:   5,00",,"C-Mon & Kypski, DJ Git Hype, DRG band",
ADE Collabs Session Special ,2005-10-28T22:00,2005-10-29T04:00,Hotel Arena,'s-Gravesandestraat 51,Amsterdam,NL,52.360576,4.915968,,"Presale: 17,00 excl. feeDoor:  19,00",,"Chris Liebing en Speedy J, Estroe en Dimi Angélis",
ADE 2 Days of ACE presented by Hitmeister D ,2005-10-28T23:00,2005-10-29T05:00,Jimmy Woo,Korte Leidsedwarsstraat 18,Amsterdam,NL,52.364116,4.883464,250,"Door:  10,00","House,  Eclectic,  Funk","Jermaine S vs Dame, D-Rashid, Hitmeister D, Duncan de la Funk vs La Ona",
ADE Kinetic artist Showcase with Tilt Events ,2005-10-28T23:00,2005-10-29T05:00,Kingdom Marcanti,Jan van Galenstraat 6-10,Amsterdam,NL,,,1100,"Door:  17,00",Techno,"Christian Wünsch, James Ruskin, Dave Angel, Mark Broom, Oliver Ho",
ADE Mystic Grooves presents: ,2005-10-28T21:00,2005-10-29T05:00,Melkweg,Lijnbaansgracht 234a,Amsterdam,NL,52.364837,4.881273,,"Presale: 7,00 excl. fee",,"DJs Bobby Friction & Nihal, DJs Safri & mpsPilot",
Classual Friday ,2005-10-28T23:00,2005-10-29T05:00,Ministry,Reguliersdwarsstraat 12,Amsterdam,NL,52.366699,4.88963,400,"Presale: 10,00 excl. feeDoor:  10,00",URBAN,"Dj Mba, Dj Kid, Dj Lopes, Dj G-no Mc Michael Bryan",
ADE Evilectro ,2005-10-28,,OCCII,Amstelveenseweg 134,Amsterdam,NL,52.354275,4.855605,250,,,"Charly Kent, Bastards of Love (live), Ra-X (live), Jetlag (live), DJ M, DJ Li-Z, DJ Anal Contortionist",
Clubnight ,2005-10-28T23:00,2005-10-29T05:00,Odeon Theater,Singel 460,Amsterdam,NL,,,,"Door:  10,00",,Celsius' Dj,
ADE Boem Tsjak Part 1 ,2005-10-28,,Pakhuis Wilhelmina,Veemkade 576,Amsterdam,NL,52.374876,4.93445,550,"Presale: 7,50 excl. fee",,"Fastgraph (live), Comtron (live), Rude 66 (live), Vince Watson (live), Sterac Electronics",
ADE Extrema Music & Earproof.com present: ,2005-10-28T23:00,2005-10-29T04:00,Panama,Oostelijke handelskade 4,Amsterdam,NL,52.374931,4.930309,250,"Presale: 12,50 excl. fee",,"Freestylers Dj Set (uk) Featuring Mc Sir Real, John Acquaviva (can), Bart Van Wissen (deep/extrema Records), Gene Farris (industry Records, Us), Rene Amesz (deep/deep Focus/extrema Records, Nl)",
ADE Kindred Spirits Weekender (tbc) ,2005-10-28T23:00,2005-10-29T05:00,Paradiso,Weteringschans 6-8,Amsterdam,NL,52.362277,4.883945,,,Soul,,
ADE Eclectic Rain ,2005-10-28T23:00,2005-10-29T04:00,Rain,Rembrandtplein 44,Amsterdam,NL,52.365901,4.897413,,"Door:  10,00",,,
ADE Thank God It's Friday ,2005-10-28T23:00,2005-10-29T05:00,Sinners,Wagenstraat 3-7,Amsterdam,NL,52.366729,4.899401,,"Door:  11,00",,,
ADE Welcome To The Future ,2005-10-28T20:00,2005-10-29T03:30,Studio 80,Rembrandtplein 17,Amsterdam,NL,52.366253,4.897123,,"Door:  10,00",,"Handel, Le Clic, EC Groove Society, Quazar, Dj Jun-X, The Penelopes, Dk Shocker, JohnLordFonda",
ADE Sonar Kollektiv Label Night ,2005-10-28T23:00,,Sugarfactory,Lijnbaansgracht t.o. de Melkweg,Amsterdam,NL,52.364798,4.881735,,"Presale: 10,00 excl. feeDoor:  12,50",,"Micatone ( live), Dixon Wahoo, Daniel W. Best, Edo Salgado",
ADE 2 Days of ACE ,2005-10-28T21:00,2005-10-29T03:00,Suzie Wong,Korte Leidsedwarsstraat 45,Amsterdam,NL,,,,Free entrance,,"Jaziah, Manga, Melly Mel, Sir edward, Jethro Angkotta on Persussion",
ADE Fuse-in ,2005-10-28T22:00,2005-10-29T03:00,The Mansion,Hobbemastraat 2,Amsterdam,NL,52.361452,4.882344,1100,,,Kevin Saunderson,
Hindi Nation ,2005-10-28T23:00,2005-10-29T05:00,The Powerzone,Daniel Goedkoopstr. 1-3,Amsterdam,NL,52.343369,4.918505,3500,,,,
ADE The Zoo Madhouse Special ,2005-10-28T22:00,2005-10-29T04:00,The Zebra,Korte Leidsedwarsstraat 14,Amsterdam,NL,52.364116,4.883464,1100,"Door:  10,00",,"Dj Jean, Randy Katana, Mark van Dale, E-Craig",
Dj Broadcast vs La Fruttaria ,2005-10-28T18:00,2005-10-29T03:00,TWSTd,Weteringschans 157,Amsterdam,NL,52.359747,4.889935,99,Free entrance,,"Melon & Mr. Kostas Hom, Victor Bakhuis (DJ Broadcast), Eric B Young,",
Amsterdam dance event ,2005-10-28,,versch. locaties,,Amsterdam,NL,,,,,,,
ADE Trans Balkan Express ,2005-10-28T21:00,2005-10-29T04:00,Winston Int.,Warmoesstraat 129,Amsterdam,NL,,,,"Door:   7,00",,OMFO,
ADE Dave Clarke ,2005-10-27T22:30,2005-10-28T06:00,11e verdieping TPG gebouw,Oosterdokskade 3-5,Amsterdam,NL,52.375918,4.907437,400,"Presale: 12,50 excl. fee",,"Dave Clarke, Fixmer & Mc Carthy (live), Joost van Bellen, Joris Voorn, Anthony Rother",
Dance Opera Orfeo  Opening ADE ,2005-10-27,,Beurs van Berlage,Damrak 213,Amsterdam,NL,52.375185,4.895984,,,,,
ADE Bitterzoet ,2005-10-27T21:00,2005-10-28T03:00,Bitterzoet,Spuistraat 2,Amsterdam,NL,52.372263,4.88949,1100,"Door:   5,00",,"Rednosedistrikt, Benny Sings (live)",
ADE Club Magazijn ,2005-10-27T21:00,2005-10-28T03:00,Club Magazijn,Warmoerstraat 170,Amsterdam,NL,52.373669,4.895666,1100,"Door:   7,50",,"Kraak & Smaak, Chamelian, Leroy Rey, Mr Speak",
ADE Franchise Special ,2005-10-27T22:00,2005-10-28T04:00,Escape,Rembrandtplein 11,Amsterdam,NL,52.366428,4.896349,1100,"Door:  10,00",,"Erick E, Tom de Neef, Billy the Klit, MC Spyder",
ADE Franchise Special ,2005-10-27T22:00,2005-10-28T04:00,Escape deLux,Rembrandtplein 11 (ingang kroon),Amsterdam,NL,52.366994,4.896383,1100,"Door:  10,00",,Hitmeister D,
ADE Micromusic ,2005-10-27T22:00,2005-10-28T03:00,Fantasio,Prins Hendrikkade 142,Amsterdam,NL,52.373052,4.907172,,"Door:   5,00",,"Lo-Bat (live), lDer Tante Renate (live), Maniacs of Noise (live), Stu...(live), DJs Monza",
ADE Defected in Tha House ,2005-10-27T23:00,2005-10-28T04:00,Hotel Arena,'s-Gravesandestraat 51,Amsterdam,NL,52.360576,4.915968,400,"Presale: 17,50 excl. feeDoor:  20,00",,"Martin Solveig, Simon Dunmore, DJ Roog, Ricky Rivaro",
ADE Woo Haa the Dirty South Boy Special ,2005-10-27T23:00,2005-10-28T04:00,Jimmy Woo,Korte Leidsedwarsstraat 18,Amsterdam,NL,52.364116,4.883464,550,"Door:  10,00",,"DJ Mr.Wix, DJ Mr.Gold, DJ Kees de Koning",
ADE Traffic presents: Cocoon ,2005-10-27T22:30,2005-10-28T05:00,Melkweg,Lijnbaansgracht 234a,Amsterdam,NL,52.364837,4.881273,400,"Presale: 15,00 excl. fee",,"Jacek Sienkiewicz (live), Pascal FEOS, Frank LorberToni Rios, Aron Friedman, David Labeij, DJ Ramchez, DJ Pep",
ADE Josh Wink and others ,2005-10-27T22:30,2005-10-28T05:00,Melkweg (The Max),Lijnbaansgracht 234a,Amsterdam,NL,,,400,"Presale: 15,00 excl. fee",,"Josh Wink, 16 Bit Lolitas (live), Benny Rodrigues, Michel De Heij, Gideon",
ADE Bliss ,2005-10-27T22:00,2005-10-28T04:00,Odeon Theater,Singel 460,Amsterdam,NL,,,500,"Presale: 10,00 excl. feeDoor:  10,00","deep,  soulful sexy house music,  funky grooves",,
ADE Marine ParADE Label Party ,2005-10-27T21:00,2005-10-28T05:00,Pakhuis Wilhelmina,Veemkade 576,Amsterdam,NL,52.374876,4.93445,1100,"Door:   7,50",,,
ADE 1 Management presents: ,2005-10-27T22:00,2005-10-28T04:00,Panama,Oostelijke handelskade 4,Amsterdam,NL,52.374931,4.930309,1000,,,"Don Diablo, Erick E, Lucien Foort, Gregor Salto, Fedde Le Grand, Jip Deluxe, Billy The Klit, Funkerman, Envotion, Lacroix, William Shagspeare, Philip Young, Sidney Samson, Dazzle",
ADE Soulwax Nite Version Live ,2005-10-27T23:00,2005-10-28T05:00,Paradiso,Weteringschans 6-8,Amsterdam,NL,52.362277,4.883945,,,,"Soulwax Nite Versions, Caged Baby",
ADE Rain ,2005-10-27T23:00,2005-10-28T07:00,Rain,Rembrandtplein 44,Amsterdam,NL,52.365901,4.897413,1100,"Door:  15,00",,,
ADE Fear ,2005-10-27T19:00,2005-10-28T01:00,Studio 80,Rembrandtplein 17,Amsterdam,NL,52.366253,4.897123,1100,"Door:  10,00",,"Paul Sparkes, Dive, Sandrien, Aiden Lavelle, John, Taylor, Chris Salt, DJ M-Cecile",
ADE ElectroNation ,2005-10-27T20:00,2005-10-28T05:00,Sugarfactory,Lijnbaansgracht t.o. de Melkweg,Amsterdam,NL,52.364798,4.881735,,"Presale: 10,00 excl. feeDoor:  15,00",,"Vector Lovers (live), Jori Hulkkonen, Billy Nasty, Solvent (live), DK7 (live) (Output, DJ Eva Maria",
ADE Magma ,2005-10-27T19:00,2005-10-28T04:00,Supper,Jonge roelensteeg 21,Amsterdam,NL,52.367547,4.888833,1100,"Door:   5,00",,,
ADE Hed Kandi Party ,2005-10-27T23:00,2005-10-28T05:00,Supperclubcruise,"Ruyterkade, pier 4",Amsterdam,NL,,,,"Presale: 15,00 excl. feeDoor:  18,00",,"Rob Wilder, Paul Wilkens, John Jones, Andy Norman, Laura,  And the Hed Kandi DJ Contest Finalists",
ADE Beyourself Music & Anna Agency: Marco V ,2005-10-27T22:00,2005-10-28T02:00,The Mansion,Hobbemastraat 2,Amsterdam,NL,52.361452,4.882344,,"Door:   5,00",,Marco V,
Lucy Lee ,2005-10-27T22:00,2005-10-28T03:00,The Zebra,Korte Leidsedwarsstraat 14,Amsterdam,NL,52.364116,4.883464,,"Door:   8,00",,"Timothy Watt, Goodgrip, Miss Sugaware",
Electric boogieland ADE Special ,2005-10-27T18:00,2005-10-28T01:00,TWSTd,Weteringschans 157,Amsterdam,NL,52.359747,4.889935,99,Free entrance,"Dirty electro,  funkin',  pumpin' disco,  acid kicks !","Dirt Crew Aka Break3000 (dirtcrew,trapez),  Steffi (klakson,soulrock), Richard (real Audio,soulrock),  Shiva (soulrock,laughingbuddha)",
Amsterdam dance event ,2005-10-27,,versch. locaties,,Amsterdam,NL,,,,,,,
ADE Finish Live Dance ,2005-10-27T21:00,2005-10-28T11:00,Winston Int.,Warmoesstraat 131,Amsterdam,NL,,,250,"Presale: 5,00 excl. feeDoor:   5,00","dance,  transbalkann,  hiphop","Accu, Koneveljet, O.m.f.o & Dj Aiscream",
