name,start_date,end_date,location,address,locality,country,latitude,longitude,capacity,price,genre,lineup,state
Party Marathon ,2005-10-31T03:00,2005-10-30T12:00,Club Latido,Buikslotermeerplein 7/9,Amsterdam,NL,52.398663,4.93827,,"Door:  15,00","Club,  Groove","S.I.M, Sven S, Onnik, Marco Verhoeven",
House Quake ,2005-10-30T19:00,2005-10-31T01:00,Escape,Rembrandtplein 11,Amsterdam,NL,52.366428,4.896349,1100,"Door:  15,00",Funk,"Fedde le Grand , Born to Funk, Roog, Erick E, MC Gee",
Salsa Lounge ,2005-10-30T17:00,2005-10-31T01:00,Hotel Arena,'s-Gravesandestraat 51,Amsterdam,NL,52.360576,4.915968,,"Presale: 15,00 excl. feeDoor:  17,50",,,
ADE ,2005-10-30T23:00,2005-10-31T05:00,Jimmy Woo,Korte Leidsedwarsstraat 18,Amsterdam,NL,52.364116,4.883464,400,"Door:  10,00",,Derrick Carter,
Déjà Vu ,2005-10-30T17:00,2005-10-31T02:00,Odeon Theater,Singel 460,Amsterdam,NL,,,,"Door:  12,00",,TBA,
ADE Closingparty hosted by luvdancin ,2005-10-30T19:00,,Panama,Oostelijke handelskade 4,Amsterdam,NL,52.374931,4.930309,1000,"Presale: 15,00 excl. feeDoor:  20,00",,,
WickedJazzSounds ,2005-10-30T22:00,2005-10-31T05:00,Sugarfactory,Lijnbaansgracht t.o. de Melkweg,Amsterdam,NL,52.364798,4.881735,,"Presale: 8,50 excl. feeDoor:  10,00",,"Kraak & Smaak (dj Set), Phil Horneman (dj), Bernice (vocals), Jeff Hollie (sax) And Other Live Musicians. Sense (visuals)",
Jazzy sunday ,2005-10-30T18:00,2005-10-31T01:00,The Mansion,Hobbemastraat 2,Amsterdam,NL,52.361452,4.882344,,,,,
Local Heroes ,2005-10-30T23:00,2005-10-31T03:00,The Zebra,Korte Leidsedwarsstraat 14,Amsterdam,NL,52.364116,4.883464,,"Door:  10,00",Bass,"Richi Bass,  Virgil Reality",
Exprezz ,2005-10-30T18:00,2005-10-31T01:00,TWSTd,Weteringschans 157,Amsterdam,NL,52.359747,4.889935,99,Free entrance,Electronic Newschool Beats,"Stefano Richetta & The Wonderfoolies, Vincenzo de Bull",
