name,start_date,end_date,location,address,locality,country,latitude,longitude,capacity,price,genre,lineup,state
ADE Klinch: Dave Clarke Presents ,2008-10-23T22:00,,Melkweg,Lijnbaansgracht 234a,Amsterdam,NL,52.364837,4.881273,,"Presale: 16,00 excl. fee",,,
Nokia Trends Lab ,2008-10-23T21:00,2008-10-24T05:00,MTV studios,TT. Neveritaweg 6,Amsterdam,NL,52.400121,4.893654,,,,"Benny Rodrigues, Terry Toner, Josh Wink (US), D'Julz (FR), Steve Bug (DE)",
ADE Extrema Presents: Toolroom Knights ,2008-10-23T23:00,2008-10-24T06:00,Odeon Theater,Singel 460,Amsterdam,NL,,,1100,"Presale: 12,50 excl. fee","Techno,  Minimal,  House,  Funk,  Electro,  Club","Funkagenda (UK), Dave Spoon (UK), Mark Knight (UK), D. Ramirez (UK), Rene Amesz, Edwin Oosterwal, Mark August (live), Joris Voorn, Quince (live), Micheal Ille Bitch von L, Eric De Man, Pete Griffiths & George Andrews, Infinitize, Patch Park",
Whe Are Not Dead Yet O.a.  Noisia ,2008-10-23T20:00,,OneFourOne,Overtoom 141,Amsterdam,NL,52.362071,4.87295,,"Presale: 6,00 excl. feeDoor:   6,00","Dance,  Urban,  Breakbeats,  Drum 'n Bass,  Broken Beats",,
ADE One Night Only ,2008-10-23T22:00,2008-10-24T04:00,Panama,Oostelijke Handelskade 4,Amsterdam,NL,52.374931,4.930309,1000,,,"Victor Calderone (US), Misstress Barbara (CA), Adultnapper (US), Funkerman, D.O.N.S. (DE), The Cube Guys (IT), Eddie Thoneick (DE), Prok & Fitch, Muzzaik, Belocca & Soneec",
ADE Stella Polaris Presents: Trentemøller ,2008-10-23T23:00,2008-10-24T05:00,Paradiso,Weteringschans 6-8,Amsterdam,NL,52.362277,4.883945,1300,,,"Trentemøller (DK, DJ-set), Lulu Rouge (DK, live)",
ADE Fierce Angel ,2008-10-23T22:00,2008-10-24T05:00,Rain,Rembrandtplein 44,Amsterdam,NL,52.365901,4.897413,,"Presale: 10,00 excl. feeDoor:  15,00",,"Mark Doyle (UK), Fedor Limjoco, Denniz, Joshua Walter, Tom Boye, Mike van Loon, Robert Feelgood, Eduardo Ramirez, Noelle, Franck, MC Knowledje, MC Choral, MC Pryme, Frank The Tank (percussion), Saxy Mr. S. (sax)",
ADE Wknd Presents: Freerange & 8bit Label Night ,2008-10-23T23:00,2008-10-24T04:00,Studio 80,Rembrandtplein 17,Amsterdam,NL,52.366253,4.897123,400,"Door:  10,00",House,"Jimpster (UK), Nick Curly (DE), Shur I Kan (UK), Gorge, Timstr",
Inside Look Producer Workshop: Vince Watson ,2008-10-23T19:00,2008-10-23T20:00,Studio/K,Timorplein 62,Amsterdam,NL,52.365581,4.935035,,"Presale: 15,00 excl. fee",,Vince Watson,
ADE Team Records Label Night ,2008-10-23T22:00,2008-10-24T04:00,Studio/K,Timorplein 62,Amsterdam,NL,52.365581,4.935035,,"Door:   8,00",,"T!M, Vince Watson, Philogresz, Shirazi (live)",
ADE Vreemd Goes Forward ,2008-10-23T23:00,2008-10-24T05:00,Sugarfactory,Lijnbaansgracht 238,Amsterdam,NL,52.364798,4.881735,450,,,"Dekmantel, François K (US), Beat Pharmacy (US), Tedd Patterson (US), John Daly (US), François K, Vreemde Vj's",
ADE Jealousy: Nine Sins ,2008-10-23T21:00,2008-10-24T01:00,Supper,Jonge Roelensteeg 21,Amsterdam,NL,52.367547,4.888833,,,,"Michael Anthony (US), Marc Robijn, Pathaan (UK) & Alan Luna",
ADE Niteworks Recordings ,2008-10-23T21:00,2008-10-24T03:00,The Mansion,Hobbemastraat 2,Amsterdam,NL,52.361452,4.882344,,"Presale: 10,00 excl. fee",,"Mike Vandee, Alankara, Jazzy D, Eltonio Estavez, Ryan Delargo, Danny Dior, Mike Bendorph, Groovemaster Johnson",
ADE Deejaybooking.com Showcase ,2008-10-23T23:00,2008-10-24T04:00,The Powerzone,Daniel Goedkoopstr. 1-3,Amsterdam,NL,52.343369,4.918505,3500,,Funk,"Junior Jack & Kid Creme (BE), Milk & Sugar (DE), Jean Claude Ades (DE), Eddie Thoneick (DE), Patric La Funk (DE)",CANCELLED
ADE Sharam DEEPDISH ,2008-10-23T23:00,2008-10-24T09:00,The Zebra,Korte Leidsedwarsstraat 14,Amsterdam,NL,52.364116,4.883464,,"Presale: 15,00 excl. fee",Bass,"Sharam (Deep Dish, US), Nic Fanciulli, Goodgrip, Fullscale, Robert Feelgood, Rishi Bass|-| + Very special international guest!",
ADE Fette Sjit ,2008-10-23T20:00,2008-10-24T01:00,Vak Zuid,Olympisch Stadion 35,Amsterdam,NL,52.344575,4.854739,700,,,"Keith Thomson (US), Natarcia, Jodee Kitch, Shreeta Campbell, Mc Pryme, Marnix, Marco Corvino (IT), Alex Pi vs Rudichi",
ADE Vers Fruit ,2008-10-23T22:00,2008-10-24T03:00,Vierjaargetijden,Klein Gartmanplantsoen 5,Amsterdam,NL,52.363568,4.883355,,Free entrance,House,"Ba-Z, Rubix, Skez, Joel B b2b Leon Marvell, Storm",
Haarlem Salsa Festival: Preparty ,2008-10-23T20:00,2008-10-24T03:00,Westergasterras,Klönne plein 4-6,Amsterdam,NL,52.386808,4.869991,400,Free entrance,"Salsa,  Mambo","Mimo, Andres",
ADE Click ,2008-10-23T22:00,,Westerunie,Klönne plein 4-6,Amsterdam,NL,52.386808,4.869991,,"Presale: 15,00",,"Layo & Bushwacka!, The Advent (live), Joel Mull, Steve Rachmad, Michel de Hey, Darko Esser, Warren Fellow, Wouter De Moor, Stefano Richetta, Vincenzo De Bull, Paul Jay, Angelo, Cellie, Makcim, M-Cecile, Zomar, Angelo",
Strafwerk Presents ,2008-10-23T20:00,2008-10-24T03:00,Winston Int.,Warmoesstraat 131,Amsterdam,NL,,,,,"Techno,  Minimal",,
