name,start_date,end_date,location,address,locality,country,latitude,longitude,capacity,price,genre,lineup,state
Amstelhavenlive: Hottown! ,2009-10-25T22:00,2009-10-26T03:00,Amstelhaven,Mauritskade 1,Amsterdam,NL,52.359229,4.906017,250,"Presale: 5,00 excl. fee",Coverband,,
Ey! ,2009-10-25T21:00,2009-10-26T03:00,Bitterzoet,Spuistraat 2,Amsterdam,NL,52.372263,4.88949,450,"Door:   7,50","Hiphop,  R&B,  Old Skool,  Reggae,  Dubstep",,
ADE Gold Fish Live ,2009-10-25T21:00,2009-10-26T01:00,Club Home,Wagenstraat 4-7,Amsterdam,NL,52.366566,4.899401,,"Presale: 10,00 excl. fee SOLD OUT",,Gold Fish (live),SOLD OUT
Chega Recording || Chega Agency ADE Showcase ,2009-10-25T22:00,2009-10-26T03:00,Club NL,Nieuwezijds Voorburgwal 169,Amsterdam,NL,52.372064,4.891011,,"Door:   5,00",House,"Tom de Neef, Johnson Junior, Nikolai Dimitrov, Remaniax, Daniel Darque, Alex Salvador, Dave Mayer, Praia de Sol, Mell Tierra, Chique Benitez & George Anthony",
Heerlijk ,2009-10-25T23:00,,Club Prime,Rembrandtplein 22,Amsterdam,NL,52.365739,4.896266,350,"Door:  10,00","eclectische house,  swingbeatz,  classics sounds",,
Ikhebzin ,2009-10-25T23:00,2009-10-26T03:00,club UP (de Kring),Korte Leidsedwarsstraat 26-I,Amsterdam,NL,,,,"Door:   7,50",Eclectic,"Mr Mike, Abstract, Irwan, DEE JAY Kid & Mc ICEMAN",
ADE See You Later ,2009-10-25T04:00,,Escape,Rembrandtplein 11,Amsterdam,NL,52.366428,4.896349,250,"Presale: 15,00 excl. feeDoor:  15,00",,"Hoxton Whores, Jean, Tony Cha Cha, Raymundo, Robert Feelgood, Frederik Abas",
Sunday Night ,2009-10-25T22:00,2009-10-26T03:00,Escape,Rembrandtplein 11,Amsterdam,NL,52.366428,4.896349,1300,"Presale: 10,00 excl. fee",,"Kid Massive (UK), The Ethan Project (UK), Marc Benjamin (NL), Yasmin le Bon (NL), Remaniax (NL), Disfunktion (NL)",
Detroit vs Chicago ,2009-10-25T23:00,2009-10-26T04:30,Escape Studio / Lounge,Amstel 70,Amsterdam,NL,,,,"Presale: 10,00 excl. feeDoor:  12,50","House,  Techno,  Minimal,  Acid","Room 1, Gene Farris (Farris Wheel Recordings, US), Detroit Grand Pubahs (EPM, US), , Room 2, Dj Brian S (NL), Dj Alex Pi & Rudichi (Farris Wheel Recordings / Afro Acid, NL), 2Recordz, Dj Julias the Mad Thinker 3Degrees (US), , Mc Fadoua Mae (2Recordz, NL), Mc Chapell (Farris Wheel Recordings, US)",
Salsa Lounge ,2009-10-25T18:00,2009-10-26T01:00,Hotel Arena,'s-Gravesandestraat 51,Amsterdam,NL,52.360576,4.915968,,"Presale: 16,50 excl. feeDoor:  18,50","Latin. Eclectic,  House,  Salsa",,
Hush Hush ,2009-10-25T23:00,2009-10-26T04:00,Jimmy Woo,Korte Leidsedwarsstraat 18,Amsterdam,NL,52.364116,4.883464,550,"Presale: 10,00 excl. fee",,"Fs-Green, Jim Aasgier, Jaziah, Dj Klever & Craze",
ADE Remote Areas ,2009-10-25T22:00,2009-10-26T05:00,Melkweg,Lijnbaansgracht 234a,Amsterdam,NL,52.364837,4.881273,,"Presale: 12,00 excl. feeDoor:  14,00",,,
ADE Star 69 Records ,2009-10-25T18:00,2009-10-26T01:00,Odeon Theater,Singel 460,Amsterdam,NL,,,1100,"Door:  10,00",,"Dekky, Benjamin Aillery, Man Machine, Chris Bekker, Terri B.",
Faithless Soundsystem Live ,2009-10-25T22:00,2009-10-26T03:00,Panama,Oostelijke Handelskade 4,Amsterdam,NL,52.374931,4.930309,1000,"Presale: 25,00 excl. fee",FAITHLESS,,
ADE Rapido ,2009-10-25T15:00,2009-10-26T02:00,Paradiso,Weteringschans 6-8,Amsterdam,NL,52.362277,4.883945,1300,"Presale: 32,00 excl. fee",,,
Dèjá Vu ,2009-10-25T19:00,2009-10-26T01:00,Rain,Rembrandtplein 44,Amsterdam,NL,52.365901,4.897413,,"Door:  12,50","Dance Classics,  R&B,  Glam,  Swing Beat,  Soul",,
ADE Cocoon Official After Party ,2009-10-25T07:00,2009-10-25T13:00,Studio 80,Rembrandtplein 17,Amsterdam,NL,52.366253,4.897123,530,"Door:  10,00","techno,  minimal",Mystery Guests,
