PARTY MARATHON,2005-10-31,03:00,2005-10-30,12:00,-900.0,Club Latido,Buikslotermeerplein 7/9,52.398663,4.93827,15.00,15.00,,"[CLUB, GROOVE]","[S.I.M, SVEN S, ONNIK, MARCO VERHOEVEN]",false,false
HOUSE QUAKE,2005-10-30,19:00,2005-10-31,01:00,360.0,Escape,Rembrandtplein 11,52.366428,4.896349,15.00,15.00,1100,[FUNK],"[FEDDE LE GRAND, BORN TO FUNK, ROOG, ERICK E, MC GEE]",false,false
SALSA LOUNGE,2005-10-30,17:00,2005-10-31,01:00,480.0,Hotel Arena,'s-gravesandestraat 51,52.360576,4.915968,15.00,17.50,,,,false,false
ADE,2005-10-30,23:00,2005-10-31,05:00,360.0,Jimmy Woo,Korte Leidsedwarsstraat 18,52.364116,4.883464,10.00,10.00,400,,[DERRICK CARTER],false,false
DÉJÀ VU,2005-10-30,17:00,2005-10-31,02:00,540.0,Odeon Theater,Singel 460,,,12.00,12.00,,,[TBA],false,false
CLOSINGPARTY HOSTED BY LUVDANCIN,2005-10-30,19:00,,,,Panama,Oostelijke Handelskade 4,52.374931,4.930309,15.00,20.00,1000,,,false,false
WICKEDJAZZSOUNDS,2005-10-30,22:00,2005-10-31,05:00,420.0,Sugarfactory,Lijnbaansgracht T.o. De Melkweg,52.364798,4.881735,8.50,10.00,,,"[KRAAK & SMAAK, PHIL HORNEMAN, BERNICE, JEFF HOLLIE  AND OTHER LIVE MUSICIANS. SENSE]",false,false
JAZZY SUNDAY,2005-10-30,18:00,2005-10-31,01:00,420.0,The Mansion,Hobbemastraat 2,52.361452,4.882344,,,,,,false,false
LOCAL HEROES,2005-10-30,23:00,2005-10-31,03:00,240.0,The Zebra,Korte Leidsedwarsstraat 14,52.364116,4.883464,10.00,10.00,,[BASS],"[RICHI BASS, VIRGIL REALITY]",false,false
EXPREZZ,2005-10-30,18:00,2005-10-31,01:00,420.0,Twstd,Weteringschans 157,52.359747,4.889935,0.00,0.00,99,[ELECTRONIC NEWSCHOOL BEATS],"[STEFANO RICHETTA & THE WONDERFOOLIES, VINCENZO DE BULL]",false,false
STATIC AND 11 PRESENT A PLAYHOUSE LABEL NIGH,2005-10-29,22:30,2005-10-30,04:00,330.0,Bg,Oosterdokskade 3-5,52.375918,4.907437,12.50,12.50,400,,"[BART SKILLS, DJ ATA, REWORK, JONATHAN TRAFFIC]",false,false
GPLUS,2005-10-29,23:00,2005-10-30,05:00,360.0,Akhnaton,Nieuwezijds Kolk 25,52.376272,4.894322,10.00,12.00,400,,"[LIFTSHIFT, DJ ARNE, MIDIMILIZ AKA THE DELTA, X-DREAM, PRIME SUSPECT]",false,false
TOP BILLIN,2005-10-29,23:00,2005-10-30,04:00,300.0,Bitterzoet,Spuistraat 2,52.372263,4.88949,5.00,5.00,400,,"[JAWAT, THE OPPOSITES, DJS SP, EDZON AND KNOWHOW]",false,false
VARIETY,2005-10-29,21:00,2005-10-30,04:00,420.0,Club Magazijn,Warmoerstraat 170,52.373669,4.895666,7.50,7.50,250,,"[MASON, CHEESY SVA, DJ JØRGENSEN]",false,false
MORE URBAN,2005-10-29,23:00,2005-10-30,07:00,480.0,Club More,Rozengracht 133,,,12.00,12.00,400,,"[ORLANDO, KID, FLAVA, FRANK, IRWAN, GILLY, GOODFELLAS, DR. BEAT, VIOLATORZ]",false,false
INMOTION,2005-10-29,22:00,2005-10-30,04:00,360.0,Club Nl,Nieuwezijds Voorburgwal 169,52.372064,4.891011,6.00,6.00,,,"[SHINEDOE, DAVE ELLESMERE, DJ MADSKILLZ, 2000 AND ONE]",false,false
LOSLOPEND WILD,2005-10-29,23:00,2005-10-30,04:00,300.0,De Kring,Kleine Gartmansplantsoen 7-9,52.363575,4.883355,7.50,7.50,400,,"[LIL D, EVA MARIA, SANDER BAAN, FREEK FABRICIUS]",false,false
MN2S,2005-10-29,22:00,2005-10-30,05:00,420.0,Escape,Rembrandtplein 11,52.366428,4.896349,20.00,20.00,400,[FUNK],"[FULL INTENTION, DJ ROOG, SEAMUS, HAJI, SHARAM JEY, AXWELL, RAYMUNDO, ALEX ROMANO, JEROENSKI, BORN 2 FUNK, SILVERIUS]",false,false
EOB MEETS PLASTIK FANTASTIK,2005-10-29,22:00,2005-10-30,03:00,300.0,Fantasio,Prins Hendrikkade 142,52.373052,4.907172,5.00,5.00,,,"[PLASTIK FANTASTIK UNIT I, PLASTIK FANTASTIK UNIT II, DJ BJÖRN B., PLASTIK FANTASTIK, AMOS DEL RITMO]",false,false
EOB MEETS PLASTIK FANTASTIK,2005-10-29,22:00,2005-10-30,03:00,300.0,Fantasio,Prins Hendrikkade 142,,,5.00,5.00,,"[HOUSE, FUNK, SOUL]","[PLASTIK FANTASTIK UNIT I, PLASTIK FANTASTIK UNIT II, DJ BJÖRN B., PLASTIK FANTASTIK, AMOS DEL RITMO]",false,false
D3: DUTCH DJ DAY,2005-10-29,10:30,,,,Felix Meritis,Keizersgracht 324,52.370205,4.884397,,,,,"[DJ, PRODUCERS SEMINAR]",false,false
RED BULL MUSIC ACADEMY WORKSHOPS,2005-10-29,12:00,,,,Felix Meritis,Keizersgracht 324,52.370205,4.884397,15.00,15.00,,,"[DERRICK MAY, DAVE CLARK, STEVE RACHMAD, JORIS VOORN, ANTAL, CHRISTIAAN, RBMA]",false,false
LOVELAND STARTS FIRE,2005-10-29,22:00,2005-10-30,06:00,480.0,Hotel Arena,'s-gravesandestraat 51,52.360576,4.915968,20.00,20.00,,,,false,false
2 DAYS OF ACE PRESENTED BY DJ CHUCKIE,2005-10-29,21:00,2005-10-30,05:00,480.0,Jimmy Woo,Korte Leidsedwarsstraat 18,52.364116,4.883464,10.00,10.00,400,"[HOUSE, ECLECTIC, FUNK]","[DUNCAN DE LA FUNK, JAZIAH, DJ CHUCKIE, MELLY MELL, MUSTAFA]",false,false
XTRALARGE PRESENTS:JOHAN GIELEN & FRIENDS,2005-10-29,22:00,2005-10-30,05:00,420.0,Kingdom Marcanti,Jan Van Galenstraat 6-10,,,16.00,16.00,,,"[JOHAN GIELEN, SPIDER, SIMON PATTERSON, JESSELYN]",false,false
SUPERGIANTS,2005-10-29,23:00,2005-10-30,05:00,360.0,Melkweg,Lijnbaansgracht 234a,52.364837,4.881273,12.50,12.50,400,,"[ELECTROLIVE, FUTURESHOCK, HERR ARTER, MASON, LADY ACE]",false,false
CLUBNIGHT,2005-10-29,23:00,2005-10-30,05:00,360.0,Odeon Theater,Singel 460,,,10.00,10.00,,,[WE-BE-1],false,false
BOEM TSJAK 2,2005-10-29,23:00,2005-10-30,05:00,360.0,Pakhuis Wilhelmina,Veemkade 576,52.374876,4.93445,7.50,7.50,250,,"[PEEL SEAMUS, TERRACE, DUPLEX, DYNAREC, PAMETEX, NEWWORLDAQUARIUM, DEXTER, LEFOWELT, ORGUE ELECTRONIQUE]",false,false
FAMOUS,2005-10-29,23:00,2005-10-30,04:00,300.0,Panama,Oostelijke Handelskade 4,52.374931,4.930309,15.00,15.00,400,,"[STONEBRIDGE, MISCHA DANIELS, GADJO & ALEXANDRA PRINCE]",false,false
KINDRED SPIRITS WEEKENDER,2005-10-29,23:00,2005-10-30,05:00,360.0,Paradiso,Weteringschans 6-8,52.362277,4.883945,25.00,25.00,250,[JAZZ],,false,false
ARMADA NIGHT,2005-10-29,22:00,2005-10-30,05:00,420.0,Partyship Ocean Diva,Distelweg 90 In Noord,,,21.75,21.75,,,"[ARMIN VAN BUUREN, M.I.K.E, PERRY ONEIL, REMY, HARRY LEMON]",false,false
OFFICIAL AFTERPARTY,2005-10-29,05:00,2005-10-29,12:00,420.0,Rain,Rembrandtplein 44,52.365901,4.897413,6.00,6.00,250,,"[BART SKILS & GUESTS, PRINZ, HERR ARTER, JAMA, HERO BONARDI, GHOST]",false,false
CLUB MYSTIQUE,2005-10-29,23:00,2005-10-30,04:00,300.0,Rain,Rembrandtplein 44,52.365901,4.897413,10.00,10.00,250,,"[JEFF BENNET, JAMA & MARCUS MENDOZA, VANDAMM]",false,false
SOULTRAIN,2005-10-29,22:00,2005-10-30,04:00,360.0,Strand West,Stavangerweg 900,52.3934,4.878837,15.00,15.00,,[LATIN],,false,false
PLAYGROUND80,2005-10-29,22:00,2005-10-30,06:00,480.0,De Kroon,Rembrandtplein 17,52.366253,4.897123,10.00,10.00,,,"[TOUCHÉ, ALLOY MENTAL]",false,false
