AMSTELHAVENLIVE: HOTTOWN,2009-10-25,22:00,2009-10-26,03:00,300.0,Amstelhaven,Mauritskade 1,52.359229,4.906017,5.00,5.00,250,[COVERBAND],,false,false
EY,2009-10-25,21:00,2009-10-26,03:00,360.0,Bitterzoet,Spuistraat 2,52.372263,4.88949,7.50,7.50,450,"[HIPHOP, RB, OLD SKOOL, REGGAE, DUBSTEP]",,false,false
GOLD FISH LIVE,2009-10-25,21:00,2009-10-26,01:00,240.0,Club Home,Wagenstraat 4-7,52.366566,4.899401,10.00,10.00,,,[GOLD FISH],true,false
CHEGA RECORDING || CHEGA AGENCY ADE SHOWCASE,2009-10-25,22:00,2009-10-26,03:00,300.0,Club Nl,Nieuwezijds Voorburgwal 169,52.372064,4.891011,5.00,5.00,,[HOUSE],"[TOM DE NEEF, JOHNSON JUNIOR, NIKOLAI DIMITROV, REMANIAX, DANIEL DARQUE, ALEX SALVADOR, DAVE MAYER, PRAIA DE SOL, MELL TIERRA, CHIQUE BENITEZ & GEORGE ANTHONY]",false,false
HEERLIJK,2009-10-25,23:00,,,,Club Prime,Rembrandtplein 22,52.365739,4.896266,10.00,10.00,350,"[ECLECTISCHE HOUSE, SWINGBEATZ, CLASSICS SOUNDS]",,false,false
IKHEBZIN,2009-10-25,23:00,2009-10-26,03:00,240.0,Club Up,Korte Leidsedwarsstraat 26-i,,,7.50,7.50,,[ECLECTIC],"[MR MIKE, ABSTRACT, IRWAN, DEE JAY KID & MC ICEMAN]",false,false
SEE YOU LATER,2009-10-25,04:00,,,,Escape,Rembrandtplein 11,52.366428,4.896349,15.00,15.00,250,,"[HOXTON WHORES, JEAN, TONY CHA CHA, RAYMUNDO, ROBERT FEELGOOD, FREDERIK ABAS]",false,false
SUNDAY NIGHT,2009-10-25,22:00,2009-10-26,03:00,300.0,Escape,Rembrandtplein 11,52.366428,4.896349,10.00,10.00,1300,,"[KID MASSIVE, THE ETHAN PROJECT, MARC BENJAMIN, YASMIN LE BON, REMANIAX, DISFUNKTION]",false,false
DETROIT VS CHICAGO,2009-10-25,23:00,2009-10-26,04:30,330.0,Escape Delux,Amstel 70,,,10.00,12.50,,"[HOUSE, TECHNO, MINIMAL, ACID]","[ROOM 1, GENE FARRIS, DETROIT GRAND PUBAHS, ROOM 2, DJ BRIAN S, DJ ALEX PI & RUDICHI, 2RECORDZ, DJ JULIAS THE MAD THINKER 3DEGREES, MC FADOUA MAE, MC CHAPELL]",false,false
SALSA LOUNGE,2009-10-25,18:00,2009-10-26,01:00,420.0,Hotel Arena,'s-gravesandestraat 51,52.360576,4.915968,16.50,18.50,,"[LATIN, ECLECTIC, HOUSE, SALSA]",,false,false
HUSH HUSH,2009-10-25,23:00,2009-10-26,04:00,300.0,Jimmy Woo,Korte Leidsedwarsstraat 18,52.364116,4.883464,10.00,10.00,550,,"[FS-GREEN, JIM AASGIER, JAZIAH, DJ KLEVER & CRAZE]",false,false
REMOTE AREAS,2009-10-25,22:00,2009-10-26,05:00,420.0,Melkweg,Lijnbaansgracht 234a,52.364837,4.881273,12.00,14.00,,,,false,false
STAR 69 RECORDS,2009-10-25,18:00,2009-10-26,01:00,420.0,Odeon Theater,Singel 460,,,10.00,10.00,1100,,"[DEKKY, BENJAMIN AILLERY, MAN MACHINE, CHRIS BEKKER, TERRI B.]",false,false
FAITHLESS SOUNDSYSTEM LIVE,2009-10-25,22:00,2009-10-26,03:00,300.0,Panama,Oostelijke Handelskade 4,52.374931,4.930309,25.00,25.00,1000,[FAITHLESS],,false,false
RAPIDO,2009-10-25,15:00,2009-10-26,02:00,660.0,Paradiso,Weteringschans 6-8,52.362277,4.883945,32.00,32.00,1300,,,false,false
DÈJÁ VU,2009-10-25,19:00,2009-10-26,01:00,360.0,Rain,Rembrandtplein 44,52.365901,4.897413,12.50,12.50,,"[DANCE CLASSICS, RB, GLAM, SWING BEAT, SOUL]",,false,false
COCOON OFFICIAL AFTER PARTY,2009-10-25,07:00,2009-10-25,13:00,360.0,De Kroon,Rembrandtplein 17,52.366253,4.897123,10.00,10.00,530,"[TECHNO, MINIMAL]",[MYSTERY GUESTS],false,false
SUNDAY SPIRIT PRESENTS CLOSING NIGHT,2009-10-25,20:00,2009-10-26,03:30,450.0,De Kroon,Rembrandtplein 17,52.366253,4.897123,7.00,7.00,530,"[TECHNO, MINIMAL]","[DE MAN ZONDER SCHADUW, TOBI NEUMANN]",false,false
WIE HEEFT DE BAL,2009-10-25,20:30,2009-10-25,21:30,60.0,Sugarfactory,Lijnbaansgracht 238,52.364798,4.881735,12.50,12.50,450,,"[RICO, TYPHOON, MUPPETSTUFF]",false,false
WICKED JAZZ SOUNDS & NEED2SOUL PRESENT,2009-10-25,23:00,2009-10-26,05:00,360.0,Sugarfactory,Lijnbaansgracht 238,52.364798,4.881735,9.50,9.50,450,,"[DJ BENJI B, PHIL HORNEMAN, LIVE MUSICIANS]",false,false
SUNTREE LOUNGE,2009-10-25,20:30,2009-10-26,01:00,270.0,Supper,Jonge Roelensteeg 21,52.367547,4.888833,5.00,5.00,,,,false,false
RADIO DECIBEL PRESENTS: CLOSING PARTY,2009-10-25,20:00,2009-10-26,02:00,360.0,Supperclub Cruise,"Ruyterkade, Pier 14",52.379128,4.900272,10.00,10.00,800,[HOUSE],"[DJ CHUS, TOM DE NEEF, PETER GELDERBLOM, NICK & DANNY CHATELAIN, LUCIEN FOORT, JODEE KITCH., ANGEL MANUEL, NATARCIA, FREAQZ 2 HOUSE, ROY MALONE, TOMMY VEE, JORDAN RIVERA, MC PRYME, MC JACK DE RAPPER (FUTURESTREETMUSIC, NL]",false,false
TROUW OP ZONDIGMIDDAG,2009-10-25,14:00,2009-10-25,22:00,480.0,Trouw Amsterdam,Wibautstraat 131,52.354664,4.912051,10.00,12.00,,,"[MARCEL DETTMANN, PATRICE BAUMEL  & SPECIAL GUESTS]",false,false
GET DOWN SATURDAY NIGHT,2009-10-24,22:00,2009-10-25,03:00,300.0,Amstelhaven,Mauritskade 1,52.359229,4.906017,0.00,0.00,250,"[FUNKY HOUSE, CLUBCLASSICS, DE MEEST GROOVY PLATEN VAN HET MOMENT]",[DJ ELLA BROWN],false,false
YOURS TRULY,2009-10-24,22:00,2009-10-25,04:00,360.0,Bitterzoet,Spuistraat 2,52.372263,4.88949,10.00,12.50,,,"[THE FLEXICAN, FLINKE NAMEN & DIO, MOWGLI, TURNE, JAY-B, MC FIT, VJ VENOUR]",false,false
FIELD SESSION 02,2009-10-25,00:00,2009-10-24,08:00,-960.0,Boom Chicago,Leidseplein 12,52.37263,4.879139,15.00,15.00,,"[TECHNO, MINIMAL]",,false,false
UNOFFICIAL PARTY SWITCH,2009-10-24,22:00,2009-10-25,10:00,720.0,Bunker Ndsm-werf,Tt. Neveritaweg 15,52.401403,4.894345,15.00,15.00,,,,false,false
SUBTONE AND OFFERING RECORDINGS,2009-10-24,21:00,2009-10-25,03:00,360.0,Canvas,Wibautstraat 150,52.353614,4.912207,15.00,15.00,,[SOUL],,false,false
UNK,2009-10-24,23:00,2009-10-25,06:00,420.0,Club 8,Admiraal De Ruijterweg 56 B,52.371242,4.86195,8.00,9.00,250,,,false,false
CLICK CONDITION ADE AFTERHOUR,2009-10-24,05:00,2009-10-24,12:00,420.0,Club Home,Wagenstraat 3,52.366566,4.899401,10.00,10.00,,"[HOUSE, TECHNO]",[VERY SPECIAL  GUEST DJS],false,false
OBJEKTIVITY LABEL NIGHT,2009-10-24,23:00,2009-10-25,05:00,360.0,Club Home,Wagenstraat 4-7,52.366566,4.899401,12.00,15.00,,,,false,false
HERTZ_ CONDITION INVITES,2009-10-24,22:00,2009-10-25,05:00,420.0,Club Nl,Nieuwezijds Voorburgwal 169,52.372064,4.891011,10.00,10.00,,,"[JAMES NIDECKER, FRANKLIN REEVES, OSCAR, VAN MEETEREN&HYDE, LIN, JAMA, JAMY WING, MARCUS GEHRING]",false,false
DE HEEREN VAN AEMSTEL LIVE,2009-10-24,22:30,,,,De Heeren Van Aemstel,Thorbeckeplein 5,52.365552,4.895929,,,,,,false,false
ELEVATOR PEOPLE LABELNIGHT,2009-10-24,22:00,2009-10-25,04:00,360.0,De Kring,Kleine Gartmansplantsoen 7-9,52.363575,4.883355,8.00,10.00,,,,false,false
FRAMEBUSTERS SPECIAL,2009-10-24,23:00,2009-10-25,05:00,360.0,Escape,Rembrandtplein 11,52.366428,4.896349,20.00,20.00,1300,[HOUSE],"[CHUCKIE, SUNNERY JAMES & RYAN MARCIANO, AFROJACK, RAYMUNDO, RICKY RIVARO, SHERMANOLOGY, JAZIAH, DANIEL BOVIE & ROY ROXX, CARITA LA NINA, REHAB, HITMEISTER D, TOM DE NEEF, PAKO & FREDERIK]",false,false
SNEAKERZ MUZIK OFFICIAL ADE SHOWCASE,2009-10-24,22:00,2009-10-25,05:00,420.0,Escape Delux,Amstel 70,52.366428,4.896349,7.50,10.00,250,,,false,false
SONIC BOOM,2009-10-24,22:00,2009-10-25,05:00,420.0,Flex Bar,Pazzanistraat 1,52.385827,4.871706,9.00,10.00,,"[ELECTRO, DUBSTEP, HIP HOP]","[HUORATRON, SCHLACHTHOFBRONX, TOMB CREW, AAVIKOO, KITTY GOT SUED, BRUTUZZ, THE LONGMEN]",false,false
FUTURE GENERATIONS & BAALSAAL LABELNIGHT,2009-10-24,23:00,2009-10-25,07:00,480.0,Godiva,Handboogstraat 15hs,52.373801,4.890935,10.00,10.00,,"[TECHNO, MINIMAL]","[FRITZ KALKBRENNER, CHOPSTICK, JOHNJON, TINLEI, JIVE]",false,false
HED KANDI,2009-10-24,22:00,2009-10-25,05:00,420.0,Hotel Arena,'s-gravesandestraat 51,52.360576,4.915968,15.00,20.00,,,,false,false
JIMMY WOO PRESENTS,2009-10-24,23:00,2009-10-25,04:00,300.0,Jimmy Woo,Korte Leidsedwarsstraat 18,52.364116,4.883464,15.00,17.50,550,,"[VILLA, JUNKIE XL]",false,false
JUST JACK,2009-10-24,19:30,2009-10-24,23:00,210.0,Melkweg,Lijnbaansgracht 234a,52.364837,4.881273,15.00,15.00,,,[JUST JACK],false,false
CREME ORGANIZATION & INTERGALACTIC FM PRESENT,2009-10-24,22:00,2009-10-25,05:00,420.0,Melkweg,Lijnbaansgracht 234a,52.364837,4.881273,12.00,12.00,,,,false,false
SUB:STANCE VS. SONIC WARFARE,2009-10-24,22:00,2009-10-25,05:00,420.0,Melkweg,Lijnbaansgracht 234a,52.364837,4.881273,13.00,13.00,,,"[BOXCUTTER, APPLEBLIM, JAMIE VEXD, SCUBA, PAUL SPYMANIA, JUHA]",false,false
THIS IS OUR NIGHT,2009-10-24,23:00,2009-10-25,05:00,360.0,Melkweg,Lijnbaansgracht 234a,52.364837,4.881273,15.00,20.00,,,[SANDER KLEINENBERG],false,false
THE WESTCOAST SOUND OF HOLLAND,2009-10-24,23:00,2009-10-25,05:00,360.0,Melkweg,Lijnbaansgracht 234a,52.364837,4.881273,12.00,14.00,,[ELECTRO],,false,false
STUDIO MTV INVITES DANCE4LIFE & ART OF DANCE,2009-10-24,21:00,2009-10-25,04:00,420.0,Mtv Studios,Tt. Neveritaweg 6,52.400121,4.893654,17.50,20.00,,,,false,false
